types, dx, dy, counts
Starfall Hammock;Farmland, 2, 1, 0;10;0;21;1;6
Starfall Hammock;Farmland, 2, 1, 0;11;0;20;1;6
Starfall Hammock;Farmland, 2, 1, 1;2;3;12;5;2
Starfall Hammock;Farmland, 2, 1, 1;6;0;20;0;11
Starfall Hammock;Farmland, 2, 1, 1;6;0;22;0;9
Starfall Hammock;Farmland, 2, 1, 1;6;0;22;2;7
Starfall Hammock;Farmland, 2, 1, 1;7;0;22;1;7
Starfall Hammock;Farmland, 2, 1, 1;8;0;22;1;6
Starfall Hammock;Farmland, 2, 1, 2;1;3;12;5;1
Starfall Hammock;Farmland, 2, 1, 2;5;0;20;0;11
Starfall Hammock;Farmland, 2, 1, 2;5;0;20;2;9
Starfall Hammock;Farmland, 2, 1, 2;6;0;19;0;11
Starfall Hammock;Farmland, 2, 1, 2;6;0;19;1;10
Starfall Hammock;Farmland, 2, 1, 2;9;0;20;2;5
Starfall Hammock;Farmland, 2, 1, 4;1;1;16;5;1
Starfall Hammock;Farmland, 2, 1, 5;1;0;16;5;1
Starfall Hammock;Farmland, 2, 1, 5;1;3;12;2;1
Starfall Hammock;Farmland, 2, 1, 5;2;3;12;0;3
Starfall Hammock;Farmland, 2, 2, 0;11;0;18;3;8
Starfall Hammock;Farmland, 2, 2, 0;11;0;18;5;2
Starfall Hammock;Farmland, 2, 2, 2;9;0;18;1;10
Starfall Hammock;Farmland, 2, 2, 4;1;3;4;5;1
Starfall Hammock;Farmland, 2, 2, 5;0;0;18;5;2
Starfall Hammock;Farmland, 2, 2, 5;2;0;18;1;10
Starfall Hammock;Farmland, 2, 2, 5;2;3;8;0;5
Starfall Hammock;Farmland, 3, 0, 0;2;8;6;0;2
Starfall Hammock;Farmland, 3, 0, 1;2;5;7;3;5
Starfall Hammock;Farmland, 3, 0, 1;3;5;7;3;4
Starfall Hammock;Farmland, 3, 0, 1;8;0;19;3;3
Starfall Hammock;Farmland, 3, 0, 1;10;0;19;2;4
Starfall Hammock;Farmland, 3, 0, 2;1;5;7;3;5
Starfall Hammock;Farmland, 3, 0, 3;2;5;10;1;2
Starfall Hammock;Farmland, 3, 0, 3;4;5;8;2;1
Starfall Hammock;Farmland, 3, 0, 3;5;0;19;3;2
Starfall Hammock;Farmland, 3, 0, 3;5;5;7;2;1
Starfall Hammock;Farmland, 3, 1, 0;13;0;18;1;6
Starfall Hammock;Farmland, 3, 1, 1;2;3;8;5;6
Starfall Hammock;Farmland, 3, 1, 1;3;3;9;5;4
Starfall Hammock;Farmland, 3, 1, 1;6;0;18;1;12
Starfall Hammock;Farmland, 3, 1, 1;12;0;18;1;6
Starfall Hammock;Farmland, 3, 1, 2;1;3;10;5;3
Starfall Hammock;Farmland, 3, 1, 2;5;0;18;0;13
Starfall Hammock;Farmland, 3, 1, 2;7;0;16;1;14
Starfall Hammock;Farmland, 3, 1, 2;13;0;16;1;8
Starfall Hammock;Farmland, 3, 1, 2;14;0;15;1;8
Starfall Hammock;Farmland, 3, 1, 4;4;4;8;2;2
Starfall Hammock;Farmland, 3, 1, 5;3;3;10;1;3
Starfall Hammock;Farmland, 3, 1, 5;4;3;9;1;3
Starfall Hammock;Farmland, 3, 2, 2;10;0;16;1;13
Starfall Hammock;Farmland, 3, 2, 3;9;0;16;0;14
Starfall Hammock;Farmland, 3, 2, 3;10;0;13;0;16
Starfall Hammock;Farmland, 3, 2, 3;12;0;11;1;15
Starfall Hammock;Farmland, 3, 2, 5;2;0;15;5;5
Starfall Hammock;Farmland, 3, 3, 0;17;0;14;3;9
Starfall Hammock;Farmland, 3, 3, 0;19;0;12;3;11
Starfall Hammock;Farmland, 3, 3, 0;20;0;11;3;11
Starfall Hammock;Farmland, 3, 3, 1;16;0;14;2;10
Starfall Hammock;Farmland, 3, 3, 2;10;0;14;0;17
Starfall Hammock;Farmland, 3, 3, 3;9;0;14;0;17
Starfall Hammock;Farmland, 3, 3, 3;11;0;11;1;19
Starfall Hammock;Farmland, 3, 3, 3;17;0;11;0;14
Starfall Hammock;Farmland, 4, 0, 0;12;0;18;0;12
Starfall Hammock;Farmland, 4, 0, 0;12;0;18;1;11
Starfall Hammock;Farmland, 4, 0, 0;12;0;18;2;10
Starfall Hammock;Farmland, 4, 0, 1;11;0;18;0;12
Starfall Hammock;Farmland, 4, 0, 1;11;0;18;1;11
Starfall Hammock;Farmland, 4, 0, 1;11;0;18;2;10
Starfall Hammock;Farmland, 4, 0, 1;11;0;18;3;7
Starfall Hammock;Farmland, 4, 0, 2;9;4;11;3;5
Starfall Hammock;Farmland, 4, 0, 2;10;0;18;0;12
Starfall Hammock;Farmland, 4, 0, 3;5;4;10;2;10
Starfall Hammock;Farmland, 4, 0, 3;5;4;11;2;9
Starfall Hammock;Farmland, 4, 0, 3;5;4;11;3;6
Starfall Hammock;Farmland, 4, 0, 3;6;4;11;3;5
Starfall Hammock;Farmland, 4, 0, 3;7;0;18;1;11
Starfall Hammock;Farmland, 4, 0, 3;7;0;18;3;7
Starfall Hammock;Farmland, 4, 1, 0;13;0;17;0;14
Starfall Hammock;Farmland, 4, 1, 0;13;0;17;1;13
Starfall Hammock;Farmland, 4, 1, 0;14;0;17;0;13
Starfall Hammock;Farmland, 4, 1, 0;14;0;17;1;12
Starfall Hammock;Farmland, 4, 1, 0;16;0;15;2;11
Starfall Hammock;Farmland, 4, 1, 1;12;0;17;1;13
Starfall Hammock;Farmland, 4, 1, 1;12;0;17;2;12
Starfall Hammock;Farmland, 4, 1, 1;13;0;17;0;13
Starfall Hammock;Farmland, 4, 1, 1;13;0;17;2;11
Starfall Hammock;Farmland, 4, 1, 4;6;1;12;5;6
Starfall Hammock;Farmland, 4, 1, 5;6;2;12;3;5
Starfall Hammock;Farmland, 4, 2, 0;16;0;13;3;13
Starfall Hammock;Farmland, 4, 2, 2;14;0;13;2;14
Starfall Hammock;Farmland, 4, 2, 4;5;4;6;1;7
Starfall Hammock;Farmland, 4, 2, 5;6;3;4;1;10
Starfall Hammock;Farmland, 4, 2, 5;7;0;13;0;16
Starfall Hammock;Farmland, 4, 3, 0;19;0;9;5;11
Starfall Hammock;Farmland, 4, 3, 1;9;3;5;5;7
Starfall Hammock;Farmland, 4, 3, 2;16;0;12;2;16
Starfall Hammock;Farmland, 4, 3, 3;15;0;11;0;19
Starfall Hammock;Farmland, 4, 3, 3;15;0;12;0;18
Starfall Hammock;Farmland, 4, 3, 4;4;4;3;4;5
Starfall Hammock;Farmland, 4, 3, 5;7;3;5;2;8
Starfall Hammock;Farmland, 4, 3, 5;10;0;10;0;19
Starfall Hammock;Farmland, 4, 3, 5;11;0;9;5;10
Starfall Hammock;Farmland, 5, 0, 2;12;0;14;1;13
Starfall Hammock;Farmland, 5, 0, 3;5;4;9;2;11
Starfall Hammock;Farmland, 5, 0, 3;8;0;13;3;11
Starfall Hammock;Farmland, 5, 0, 3;8;4;7;2;10
Starfall Hammock;Farmland, 5, 0, 3;10;0;13;1;13
Starfall Hammock;Farmland, 5, 1, 0;16;0;10;5;10
Starfall Hammock;Farmland, 5, 1, 1;12;2;9;5;8
Starfall Hammock;Farmland, 5, 1, 1;13;2;8;5;8
Starfall Hammock;Farmland, 5, 1, 1;16;0;13;2;12
Starfall Hammock;Farmland, 5, 1, 1;17;0;13;2;11
Starfall Hammock;Farmland, 5, 1, 5;7;2;9;2;12
Starfall Hammock;Farmland, 5, 1, 5;7;2;9;3;9
Starfall Hammock;Farmland, 5, 2, 1;7;3;7;5;8
Starfall Hammock;Farmland, 5, 2, 1;8;3;6;5;8
Starfall Hammock;Farmland, 5, 2, 2;17;0;11;5;8
Starfall Hammock;Farmland, 5, 2, 5;8;3;3;1;11
Starfall Hammock;Farmland, 5, 2, 5;8;3;7;1;7
Starfall Hammock;Farmland, 5, 2, 5;10;0;10;2;16
Starfall Hammock;Farmland, 5, 3, 1;9;3;4;5;10
Starfall Hammock;Farmland, 5, 3, 5;7;3;4;4;5
Starfall Hammock;Farmland, 5, 3, 5;9;3;5;1;9
Starfall Hammock;Farmland, 5, 4, 1;15;2;6;5;10
Starfall Hammock;Farmland, 5, 4, 1;17;2;6;1;17
Starfall Hammock;Farmland, 5, 4, 2;16;2;6;5;8
Starfall Hammock;Farmland, 5, 4, 3;19;0;8;5;13
Starfall Hammock;Farmland, 5, 4, 5;8;2;6;2;16
Starfall Hammock;Farmland, 5, 4, 5;8;2;6;5;9
Starfall Hammock;Farmland, 5, 4, 5;9;2;6;5;8
Starfall Hammock;Farmland, 5, 4, 5;10;2;5;1;16
Starfall Hammock;Farmland, 5, 4, 5;10;2;6;1;15
Starfall Hammock;Farmland, 5, 4, 5;13;0;8;2;20
Starfall Hammock;Farmland, 5, 4, 5;13;0;8;5;13
Starfall Hammock;Farmland, 5, 5, 2;18;2;4;5;11
Starfall Hammock;Farmland, 5, 5, 3;17;2;4;1;19
Starfall Hammock;Farmland, 5, 5, 3;17;2;4;5;11
Starfall Hammock;Farmland, 5, 5, 3;20;0;7;5;13
Starfall Hammock;Farmland, 5, 5, 5;11;2;4;5;11
Starfall Hammock;Farmland, 5, 5, 5;12;0;7;2;22
Starfall Hammock;Farmland, 5, 5, 5;12;0;7;5;15
Starfall Hammock;Farmland, 5, 5, 5;13;0;6;5;15
Starfall Hammock;Farmland, 5, 5, 5;14;0;5;5;15
Starfall Hammock;Farmland, 6, 0, 0;16;0;16;0;16
Starfall Hammock;Farmland, 6, 0, 0;16;0;16;1;15
Starfall Hammock;Farmland, 6, 0, 1;15;0;14;5;7
Starfall Hammock;Farmland, 6, 0, 1;15;0;16;0;16
Starfall Hammock;Farmland, 6, 0, 1;15;0;16;1;15
Starfall Hammock;Farmland, 6, 0, 1;15;0;16;2;14
Starfall Hammock;Farmland, 6, 0, 2;12;4;10;2;12
Starfall Hammock;Farmland, 6, 0, 2;12;4;10;3;9
Starfall Hammock;Farmland, 6, 0, 2;13;2;11;5;7
Starfall Hammock;Farmland, 6, 0, 2;14;0;16;0;16
Starfall Hammock;Farmland, 6, 0, 2;14;2;10;5;7
Starfall Hammock;Farmland, 6, 0, 3;9;4;10;1;13
Starfall Hammock;Farmland, 6, 0, 3;9;4;10;3;9
Starfall Hammock;Farmland, 6, 0, 3;10;2;11;5;7
Starfall Hammock;Farmland, 6, 0, 4;8;3;11;3;9
Starfall Hammock;Farmland, 6, 0, 4;9;2;11;4;8
Starfall Hammock;Farmland, 6, 0, 5;7;0;14;1;15
Starfall Hammock;Farmland, 6, 0, 5;7;0;14;5;7
Starfall Hammock;Farmland, 6, 0, 5;7;1;12;4;9
Starfall Hammock;Farmland, 6, 0, 5;7;2;11;1;14
Starfall Hammock;Farmland, 6, 1, 0;16;0;13;0;19
Starfall Hammock;Farmland, 6, 1, 0;16;0;13;1;18
Starfall Hammock;Farmland, 6, 1, 0;16;0;14;2;16
Starfall Hammock;Farmland, 6, 1, 0;18;0;14;0;16
Starfall Hammock;Farmland, 6, 1, 0;18;0;14;1;15
Starfall Hammock;Farmland, 6, 1, 0;19;0;13;1;15
Starfall Hammock;Farmland, 6, 1, 1;13;4;8;1;13
Starfall Hammock;Farmland, 6, 1, 1;13;4;8;3;9
Starfall Hammock;Farmland, 6, 1, 1;14;1;11;6;8
Starfall Hammock;Farmland, 6, 1, 1;15;0;12;6;8
Starfall Hammock;Farmland, 6, 1, 1;15;0;13;0;19
Starfall Hammock;Farmland, 6, 1, 1;15;0;13;1;18
Starfall Hammock;Farmland, 6, 1, 1;15;0;14;0;18
Starfall Hammock;Farmland, 6, 1, 1;15;0;14;1;17
Starfall Hammock;Farmland, 6, 1, 1;15;1;10;6;8
Starfall Hammock;Farmland, 6, 1, 1;17;0;14;1;15
Starfall Hammock;Farmland, 6, 1, 1;18;0;13;1;15
Starfall Hammock;Farmland, 6, 1, 3;10;1;11;6;8
Starfall Hammock;Farmland, 6, 1, 3;11;1;10;6;8
Starfall Hammock;Farmland, 6, 1, 4;11;0;10;6;8
Starfall Hammock;Farmland, 6, 1, 5;10;0;10;5;10
Starfall Hammock;Farmland, 6, 1, 5;10;0;11;5;9
Starfall Hammock;Farmland, 6, 1, 6;8;0;10;4;11
Starfall Hammock;Farmland, 6, 1, 6;8;0;12;1;15
Starfall Hammock;Farmland, 6, 1, 6;8;1;10;1;15
Starfall Hammock;Farmland, 6, 1, 6;8;1;10;3;11
Starfall Hammock;Farmland, 6, 2, 1;11;4;4;4;8
Starfall Hammock;Farmland, 6, 2, 1;17;0;11;6;8
Starfall Hammock;Farmland, 6, 2, 1;18;0;12;3;16
Starfall Hammock;Farmland, 6, 2, 2;12;2;5;6;8
Starfall Hammock;Farmland, 6, 2, 4;7;3;3;5;8
Starfall Hammock;Farmland, 6, 2, 4;7;4;2;4;7
Starfall Hammock;Farmland, 6, 2, 4;8;4;4;1;11
Starfall Hammock;Farmland, 6, 2, 6;5;2;6;4;7
Starfall Hammock;Farmland, 6, 2, 6;8;0;11;1;17
Starfall Hammock;Farmland, 6, 3, 3;17;0;10;1;20
Starfall Hammock;Farmland, 6, 3, 4;8;2;5;6;6
Starfall Hammock;Farmland, 6, 3, 5;9;3;3;4;7
Starfall Hammock;Farmland, 6, 3, 6;9;2;4;0;14
Starfall Hammock;Farmland, 6, 4, 1;18;1;7;6;9
Starfall Hammock;Farmland, 6, 4, 2;16;2;6;1;18
Starfall Hammock;Farmland, 6, 4, 2;17;2;5;5;10
Starfall Hammock;Farmland, 6, 4, 3;18;0;8;6;10
Starfall Hammock;Farmland, 6, 4, 5;9;2;6;1;18
Starfall Hammock;Farmland, 6, 4, 5;10;1;5;6;10
Starfall Hammock;Farmland, 6, 4, 5;10;2;5;5;10
Starfall Hammock;Farmland, 6, 4, 6;9;1;7;2;17
Starfall Hammock;Farmland, 6, 5, 2;17;2;3;3;19
Starfall Hammock;Farmland, 6, 5, 2;20;1;5;6;10
Starfall Hammock;Farmland, 6, 5, 2;20;1;6;6;9
Starfall Hammock;Farmland, 6, 5, 5;10;2;3;5;13
Starfall Hammock;Farmland, 6, 5, 5;13;1;6;6;9
Starfall Hammock;Farmland, 6, 5, 6;9;1;6;2;20
Starfall Hammock;Farmland, 6, 5, 6;10;1;6;2;19
Starfall Hammock;Farmland, 6, 5, 6;11;1;5;5;12
Starfall Hammock;Farmland, 6, 5, 6;12;0;6;2;21
Starfall Hammock;Farmland, 6, 6, 1;20;2;4;3;18
Starfall Hammock;Farmland, 6, 6, 1;20;2;4;5;12
Starfall Hammock;Farmland, 6, 6, 1;22;0;6;7;10
Starfall Hammock;Farmland, 6, 6, 1;23;0;7;0;24
Starfall Hammock;Farmland, 6, 6, 3;21;0;7;2;22
Starfall Hammock;Farmland, 6, 6, 5;12;2;4;2;19
Starfall Hammock;Farmland, 6, 6, 5;13;0;6;7;11
Starfall Hammock;Farmland, 6, 6, 5;14;0;6;7;10
Starfall Hammock;Farmland, 6, 6, 6;12;0;7;6;12
Starfall Hammock;Farmland, 6, 6, 7;10;0;6;2;21
Starfall Hammock;Farmland, 6, 6, 7;10;0;6;5;14
Starfall Hammock;Farmland, 6, 6, 7;11;0;6;2;20
Starfall Hammock;Farmland, 6, 6, 7;11;0;6;5;13
Starfall Hammock;Farmland, 7, 0, 0;20;0;12;2;14
Starfall Hammock;Farmland, 7, 0, 1;13;3;4;5;8
Starfall Hammock;Farmland, 7, 0, 1;14;3;4;5;7
Starfall Hammock;Farmland, 7, 0, 1;19;0;12;5;7
Starfall Hammock;Farmland, 7, 0, 2;14;0;12;1;19
Starfall Hammock;Farmland, 7, 0, 4;9;4;1;2;14
Starfall Hammock;Farmland, 7, 0, 5;7;0;12;5;9
Starfall Hammock;Farmland, 7, 0, 5;8;0;12;1;18
Starfall Hammock;Farmland, 7, 1, 6;10;0;9;1;19
Starfall Hammock;Farmland, 7, 2, 1;12;2;6;6;10
Starfall Hammock;Farmland, 7, 2, 1;19;0;10;3;19
Starfall Hammock;Farmland, 7, 2, 1;21;0;10;6;9
Starfall Hammock;Farmland, 7, 2, 6;9;0;10;1;21
Starfall Hammock;Farmland, 7, 2, 6;9;0;10;6;9
Starfall Hammock;Farmland, 7, 2, 6;10;2;5;2;12
Starfall Hammock;Farmland, 7, 2, 6;10;2;6;1;12
Starfall Hammock;Farmland, 7, 3, 0;14;2;4;6;11
Starfall Hammock;Farmland, 7, 3, 1;13;2;4;6;11
Starfall Hammock;Farmland, 7, 3, 1;23;0;8;3;18
Starfall Hammock;Farmland, 7, 3, 3;18;0;8;2;22
Starfall Hammock;Farmland, 7, 3, 6;11;2;4;2;12
Starfall Hammock;Farmland, 7, 4, 0;24;0;8;0;24
Starfall Hammock;Farmland, 7, 4, 0;24;0;8;2;22
Starfall Hammock;Farmland, 7, 4, 1;23;0;8;2;22
Starfall Hammock;Farmland, 7, 4, 1;23;0;8;6;12
Starfall Hammock;Farmland, 7, 4, 2;22;0;8;0;24
Starfall Hammock;Farmland, 7, 4, 2;22;0;8;2;22
Starfall Hammock;Farmland, 7, 4, 6;11;0;8;6;11
Starfall Hammock;Farmland, 7, 4, 6;12;0;8;1;23
Starfall Hammock;Farmland, 7, 5, 0;26;0;5;6;13
Starfall Hammock;Farmland, 7, 5, 2;20;2;4;2;19
Starfall Hammock;Farmland, 7, 5, 6;14;0;5;2;23
Starfall Hammock;Farmland, 7, 5, 6;14;0;5;6;13
Starfall Hammock;Farmland, 7, 6, 1;22;2;3;2;20
Starfall Hammock;Farmland, 7, 6, 3;23;0;6;2;23
Starfall Hammock;Farmland, 7, 6, 6;11;1;2;7;9
Starfall Hammock;Farmland, 7, 6, 7;9;0;4;7;9
Starfall Hammock;Farmland, 7, 6, 7;9;1;2;6;11
Starfall Hammock;Farmland, 7, 6, 7;11;0;5;2;24
Starfall Hammock;Farmland, 7, 7, 2;19;2;1;6;14
Starfall Hammock;Farmland, 7, 7, 7;5;0;4;7;13
Starfall Hammock;Farmland, 7, 7, 7;12;0;4;2;25
Starfall Hammock;Farmland, 8, 0, 0;20;0;12;0;20
Starfall Hammock;Farmland, 8, 0, 0;20;0;12;1;19
Starfall Hammock;Farmland, 8, 0, 0;22;0;10;0;22
Starfall Hammock;Farmland, 8, 0, 0;22;0;10;1;21
Starfall Hammock;Farmland, 8, 0, 1;14;5;2;2;14
Starfall Hammock;Farmland, 8, 0, 1;15;5;2;3;10
Starfall Hammock;Farmland, 8, 0, 1;16;3;2;5;11
Starfall Hammock;Farmland, 8, 0, 1;18;3;2;5;9
Starfall Hammock;Farmland, 8, 0, 1;19;0;12;1;19
Starfall Hammock;Farmland, 8, 0, 1;19;0;12;2;18
Starfall Hammock;Farmland, 8, 0, 1;21;0;8;5;13
Starfall Hammock;Farmland, 8, 0, 1;21;0;10;0;22
Starfall Hammock;Farmland, 8, 0, 1;21;0;10;1;21
Starfall Hammock;Farmland, 8, 0, 1;21;0;10;2;20
Starfall Hammock;Farmland, 8, 0, 2;18;0;12;0;20
Starfall Hammock;Farmland, 8, 0, 2;20;0;10;0;22
Starfall Hammock;Farmland, 8, 0, 2;20;0;10;1;21
Starfall Hammock;Farmland, 8, 0, 3;10;5;2;3;11
Starfall Hammock;Farmland, 8, 0, 3;11;5;2;1;14
Starfall Hammock;Farmland, 8, 0, 5;8;3;2;5;9
Starfall Hammock;Farmland, 8, 0, 5;9;3;2;1;18
Starfall Hammock;Farmland, 8, 0, 5;9;3;2;5;8
Starfall Hammock;Farmland, 8, 0, 5;10;3;2;2;16
Starfall Hammock;Farmland, 8, 0, 5;12;0;9;1;21
Starfall Hammock;Farmland, 8, 1, 1;20;0;9;0;23
Starfall Hammock;Farmland, 8, 1, 2;13;5;2;3;11
Starfall Hammock;Farmland, 8, 1, 2;14;5;2;1;14
Starfall Hammock;Farmland, 8, 1, 3;11;5;2;2;13
Starfall Hammock;Farmland, 8, 1, 6;8;1;3;6;10
Starfall Hammock;Farmland, 8, 1, 6;9;1;4;6;8
Starfall Hammock;Farmland, 8, 2, 0;22;0;10;2;20
Starfall Hammock;Farmland, 8, 2, 0;23;0;9;0;23
Starfall Hammock;Farmland, 8, 2, 0;23;0;9;2;21
Starfall Hammock;Farmland, 8, 2, 2;20;0;10;2;20
Starfall Hammock;Farmland, 8, 2, 2;22;0;7;6;12
Starfall Hammock;Farmland, 8, 2, 6;13;0;6;1;23
Starfall Hammock;Farmland, 8, 3, 0;25;0;7;2;20
Starfall Hammock;Farmland, 8, 3, 1;25;0;6;6;11
Starfall Hammock;Farmland, 8, 3, 3;19;0;6;0;26
Starfall Hammock;Farmland, 8, 3, 3;19;0;7;2;23
Starfall Hammock;Farmland, 8, 3, 6;12;0;5;1;25
Starfall Hammock;Farmland, 8, 4, 0;24;0;7;0;25
Starfall Hammock;Farmland, 8, 4, 1;19;2;3;6;11
Starfall Hammock;Farmland, 8, 4, 1;20;2;3;1;21
Starfall Hammock;Farmland, 8, 4, 1;25;0;4;6;15
Starfall Hammock;Farmland, 8, 4, 2;19;2;2;6;11
Starfall Hammock;Farmland, 8, 4, 2;20;2;2;1;21
Starfall Hammock;Farmland, 8, 4, 2;22;0;6;0;26
Starfall Hammock;Farmland, 8, 4, 2;22;0;7;0;25
Starfall Hammock;Farmland, 8, 4, 2;22;0;7;2;23
Starfall Hammock;Farmland, 8, 4, 2;22;0;8;1;23
Starfall Hammock;Farmland, 8, 4, 6;15;0;4;1;25
Starfall Hammock;Farmland, 8, 5, 1;19;2;2;6;13
Starfall Hammock;Farmland, 8, 5, 1;20;2;2;6;12
Starfall Hammock;Farmland, 8, 5, 1;25;0;3;6;16
Starfall Hammock;Farmland, 8, 5, 2;18;2;3;6;12
Starfall Hammock;Farmland, 8, 5, 2;21;2;3;2;20
Starfall Hammock;Farmland, 8, 5, 2;22;0;5;0;27
Starfall Hammock;Farmland, 8, 5, 2;22;0;5;2;25
Starfall Hammock;Farmland, 8, 5, 2;25;0;5;2;22
Starfall Hammock;Farmland, 8, 5, 3;21;0;5;0;27
Starfall Hammock;Farmland, 8, 5, 6;10;2;2;6;10
Starfall Hammock;Farmland, 8, 5, 6;12;2;2;2;19
Starfall Hammock;Farmland, 8, 5, 6;12;2;3;2;18
Starfall Hammock;Farmland, 8, 5, 6;12;2;3;3;17
Starfall Hammock;Farmland, 8, 5, 6;14;0;4;6;16
Starfall Hammock;Farmland, 8, 5, 6;16;0;3;1;25
Starfall Hammock;Farmland, 8, 5, 6;16;0;3;6;15
Starfall Hammock;Farmland, 8, 5, 6;16;0;4;6;14
Starfall Hammock;Farmland, 8, 6, 0;22;2;1;6;13
Starfall Hammock;Farmland, 8, 6, 0;26;0;5;0;27
Starfall Hammock;Farmland, 8, 6, 0;26;0;6;0;26
Starfall Hammock;Farmland, 8, 6, 0;26;0;6;2;24
Starfall Hammock;Farmland, 8, 6, 0;27;0;5;0;26
Starfall Hammock;Farmland, 8, 6, 0;27;0;5;2;24
Starfall Hammock;Farmland, 8, 6, 1;23;1;2;7;12
Starfall Hammock;Farmland, 8, 6, 1;25;0;4;7;13
Starfall Hammock;Farmland, 8, 6, 1;25;0;5;0;27
Starfall Hammock;Farmland, 8, 6, 1;25;0;5;2;25
Starfall Hammock;Farmland, 8, 6, 1;25;0;6;0;26
Starfall Hammock;Farmland, 8, 6, 1;25;0;6;2;24
Starfall Hammock;Farmland, 8, 6, 1;26;0;5;2;24
Starfall Hammock;Farmland, 8, 6, 2;24;0;6;1;25
Starfall Hammock;Farmland, 8, 6, 2;24;0;6;2;24
Starfall Hammock;Farmland, 8, 6, 2;24;0;6;3;23
Starfall Hammock;Farmland, 8, 6, 6;12;2;0;6;12
Starfall Hammock;Farmland, 8, 6, 6;13;1;1;7;10
Starfall Hammock;Farmland, 8, 6, 7;10;0;3;7;11
Starfall Hammock;Farmland, 8, 6, 7;10;1;1;6;13
Starfall Hammock;Farmland, 8, 6, 7;11;0;2;7;11
Starfall Hammock;Farmland, 8, 6, 7;11;0;3;7;10
Starfall Hammock;Farmland, 8, 6, 7;13;0;4;2;24
Starfall Hammock;Farmland, 8, 7, 0;24;1;2;7;13
Starfall Hammock;Farmland, 8, 7, 1;22;2;0;6;14
Starfall Hammock;Farmland, 8, 7, 1;23;2;2;2;22
Starfall Hammock;Farmland, 8, 7, 1;27;0;3;7;14
Starfall Hammock;Farmland, 8, 7, 2;22;1;2;7;13
Starfall Hammock;Farmland, 8, 7, 6;14;2;1;2;20
Starfall Hammock;Farmland, 8, 7, 7;9;0;2;7;14
Starfall Hammock;Farmland, 8, 7, 7;9;1;0;7;10
Starfall Hammock;Farmland, 8, 7, 7;10;1;0;7;9
Starfall Hammock;Farmland, 8, 7, 7;13;1;2;2;22
Starfall Hammock;Farmland, 8, 7, 7;14;0;2;7;9
Starfall Hammock;Farmland, 8, 7, 7;14;0;3;2;26
Starfall Hammock;Farmland, 8, 8, 0;28;0;4;0;28
Starfall Hammock;Farmland, 8, 8, 0;28;0;4;2;26
Starfall Hammock;Farmland, 8, 8, 1;21;2;1;6;14
Starfall Hammock;Farmland, 8, 8, 1;24;2;1;2;22
